model_year,KM,HP,Litros,Cilindros,price_eur
2023,4812,400.0,6.7,6.0,63609
2009,260714,262.0,3.5,6.0,6825
2017,79984,228.0,2.0,4.0,23660
2017,102193,420.0,5.0,8.0,25025
2011,168981,375.0,5.0,8.0,9100
2011,64374,510.0,5.0,8.0,18200
2011,189903,360.0,5.7,8.0,11375
2022,16898,400.0,3.0,6.0,45500
2019,156106,370.0,6.7,6.0,40950
2016,115873,429.0,5.0,8.0,19474
2012,86905,330.0,3.4,6.0,68250
2015,188763,240.0,2.0,4.0,10920
2018,101646,463.0,4.0,8.0,42770
2015,138030,109.0,1.6,4.0,7508
2011,212433,305.0,3.7,6.0,10009
2006,271979,360.0,6.6,8.0,17745
2011,218232,136.0,1.8,4.0,6370
2011,88514,202.0,3.8,6.0,31850
2018,109218,410.0,6.4,8.0,33215
2007,116140,552.0,6.0,12.0,32755
2018,82077,381.0,5.7,8.0,34580
2013,96561,344.0,3.8,6.0,15015
2010,232067,210.0,4.0,6.0,9099
2001,175993,310.0,6.8,10.0,11602
2008,24172,173.0,2.4,4.0,16835
2021,37659,420.0,6.2,8.0,47320
2022,10622,430.0,7.3,8.0,66339
2020,27359,300.0,2.3,4.0,19110
2018,51917,201.0,2.4,4.0,19109
2018,25750,260.0,3.5,6.0,27755
2009,170590,280.0,2.8,6.0,11784
2009,125408,268.0,3.5,6.0,15015
2018,19908,189.0,2.0,4.0,26299
2007,45889,400.0,6.0,8.0,29120
2014,135990,410.0,6.4,8.0,30940
2013,253319,248.0,3.5,6.0,9782
2019,12199,456.0,4.4,8.0,46865
2012,158359,333.0,3.0,6.0,16380
2016,136794,355.0,5.3,8.0,29802
2013,60350,333.0,3.0,6.0,23660
2017,135185,292.0,2.0,4.0,28210
2020,108470,381.0,5.7,8.0,43225
2008,102187,330.0,3.7,6.0,13650
2014,160128,210.0,2.0,4.0,13650
2016,102998,510.0,5.0,8.0,33665
2022,3235,490.0,6.2,8.0,80990
2008,266379,270.0,3.5,6.0,8190
2014,144036,310.0,3.0,6.0,16380
2019,53913,385.0,3.0,6.0,41651
2014,59642,420.0,5.0,8.0,25935
2011,214854,412.0,5.0,8.0,21385
2021,52202,315.0,2.7,6.0,46410
2007,273588,244.0,3.5,6.0,7007
2001,145485,140.0,2.4,4.0,4090
2010,104607,210.0,2.0,4.0,8099
2023,314,310.0,3.5,6.0,79625
2011,168981,414.0,4.0,8.0,19929
2016,74194,429.0,4.7,8.0,32123
2014,134082,208.0,2.0,4.0,13650
2021,24140,355.0,3.0,6.0,62790
2010,25106,485.0,3.8,6.0,63245
2019,85992,355.0,5.3,8.0,33624
2022,13518,285.0,3.6,6.0,42770
2010,112654,425.0,6.1,8.0,20020
2019,72099,420.0,6.2,8.0,47775
2019,68764,450.0,3.5,6.0,41814
2016,180247,304.0,3.6,6.0,13285
2001,77063,300.0,3.4,6.0,29115
2019,11319,460.0,6.2,8.0,58149
2021,56274,382.0,3.0,6.0,45499
2010,165249,158.0,2.0,4.0,5460
2019,34440,280.0,2.0,4.0,25935
2013,83757,400.0,3.8,6.0,69615
2023,4987,389.0,3.0,6.0,68245
2022,11265,455.0,6.2,8.0,45500
2022,22531,228.0,2.4,4.0,31849
2019,67441,445.0,4.4,8.0,41859
2005,120701,240.0,2.7,6.0,15925
2016,64503,315.0,3.0,6.0,25934
2017,21670,455.0,6.2,8.0,40859
2012,182661,390.0,5.7,8.0,16289
2018,54235,160.0,2.0,4.0,10920
2020,58741,475.0,6.7,8.0,63609
2018,33273,400.0,2.5,5.0,69160
2018,140818,252.0,2.0,4.0,25480
2014,122310,404.0,3.0,6.0,17290
2012,257286,170.0,2.5,5.0,8872
2007,209215,275.0,4.6,8.0,3184
2023,9978,400.0,5.6,8.0,43680
2002,194731,220.0,3.0,6.0,5777
2008,147899,268.0,3.5,6.0,8099
2002,177833,240.0,2.0,4.0,24570
2019,60994,201.0,2.4,4.0,23660
2021,114212,395.0,5.7,8.0,30940
2008,151747,260.0,2.0,4.0,13195
2020,71595,400.0,2.0,4.0,59150
2019,45401,184.0,2.0,4.0,25025
2017,107826,381.0,5.7,8.0,34579
2018,98901,295.0,3.5,6.0,28210
2018,120057,152.0,2.0,4.0,21840
2015,18104,429.0,4.7,8.0,49595
2015,82559,143.0,1.8,4.0,15925
2022,6371,389.0,3.4,6.0,50050
2018,77249,300.0,3.0,6.0,29120
2006,269565,295.0,5.3,8.0,13195
2017,205996,440.0,6.7,8.0,45500
2022,23416,201.0,2.0,4.0,37765
2023,3413,252.0,2.0,4.0,37082
2015,164153,268.0,2.0,4.0,16380
2008,234964,272.0,3.5,6.0,8185
2019,88353,335.0,3.0,6.0,44135
2018,105702,247.0,2.0,4.0,31759
2012,85295,292.0,3.6,6.0,12512
2021,31704,335.0,2.7,6.0,43680
2014,53250,325.0,3.4,6.0,45272
2013,171717,290.0,3.6,6.0,12285
2007,295242,300.0,3.7,6.0,7007
2007,247343,242.0,3.7,5.0,9095
2017,74191,362.0,3.0,6.0,30030
2021,38624,141.0,2.0,4.0,23205
2018,63730,220.0,2.0,4.0,24569
2022,20921,429.0,3.0,6.0,74165
2021,53841,381.0,5.7,8.0,40722
2021,77249,275.0,3.5,6.0,51870
2005,246230,250.0,2.7,6.0,5915
2018,107327,228.0,2.0,4.0,22659
2013,239792,290.0,3.5,6.0,7144
2013,137531,101.0,1.4,4.0,8190
2011,76283,518.0,6.3,8.0,37310
2011,161467,200.0,2.4,4.0,6279
2006,177430,230.0,3.3,6.0,10010
2009,148073,300.0,3.0,6.0,11375
2020,67361,591.0,4.0,8.0,83265
2020,25750,395.0,3.0,6.0,68705
2012,123919,211.0,2.0,4.0,12558
2018,94147,285.0,3.6,6.0,31850
2020,72808,335.0,3.0,6.0,49595
2012,226032,136.0,2.0,4.0,7735
2020,68746,255.0,2.0,4.0,30485
2014,217261,260.0,3.5,6.0,7735
2018,24129,456.0,4.4,8.0,40859
2015,92618,240.0,2.0,4.0,27295
2012,86905,310.0,3.0,6.0,33561
2006,189903,220.0,3.5,5.0,16289
2006,144820,268.0,3.5,6.0,8644
2004,152083,184.0,2.5,6.0,8190
2020,52304,206.0,2.4,4.0,29120
2010,116433,132.0,1.8,4.0,9095
2016,151761,385.0,6.2,8.0,26389
2013,180005,285.0,3.6,6.0,24115
2012,257896,403.0,6.2,8.0,11739
2022,43935,285.0,3.6,6.0,43225
2023,1867,453.0,3.0,6.0,66976
2012,140818,308.0,3.6,6.0,10464
2021,20117,503.0,3.0,6.0,81900
2018,79904,252.0,2.0,4.0,21612
